"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F","logF.NFL","sqrtF.NFL","rankF.NFL"
"1","LD","LD","1","4","D","1","D1","B1","B","1","1","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","LD","3","11","D","2","D2","B1","B","1","9","P","1","1","1",0.010416667,2.5,2.5,4,1,1,"02-Sep-13",245,"02-Sep-13",245,0,2,0.00450050136994889,0.714434508545045,3,0.544068044350276,1.73205080756888,2,0.544068044350276,1.73205080756888,2,0.301029995663981,1.22474487139159,2,2.39093510710338,15.6684396159924,3.5,0,0.707106781186548,1.5,0.477121254719662,1.58113883008419,1
"4","LD","LD","4","6","D","2","D2","B1","B","1","13","P","1","0","0",0.016666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00717858476951502,0.71879528866013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","LD","10","1","D","2","D2","B1","B","1","4","D","1","0","0",0.066666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0280287237359606,0.752772652930485,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LD","LDBS","2","10","D","2","D2","B1","B","1","24","D","1","1","0",0.052083333,9,NA,8,1,NA,"02-Aug-13",214,"",NA,NA,NA,0.0220501406054759,0.74302310394765,7,1,3.08220700148449,4,NA,NA,NA,NA,NA,NA,2.33243845991561,14.6458185158768,2,NA,NA,NA,NA,NA,NA
"5","LD","LDBS","2","5","D","2","D2","B1","B","1","6","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LD","LDBS","7","8","D","2","D2","B1","B","1","4","P","1","1","1",0.020833333,6,6,6,1,1,"23-Jul-13",204,"02-Aug-13",214,10,3,0.00895484251111596,0.721687836256092,5.5,0.845098040014257,2.54950975679639,3,0.845098040014257,2.54950975679639,3,0.301029995663981,1.22474487139159,2,2.31175386105575,14.3003496460751,1,1.04139268515823,3.24037034920393,3,0.602059991327962,1.87082869338697,2.5
"8","LD","HD","3","15","D","2","D2","B1","B","1","5","P","1","1","1",0.020833333,2,2,5,1,1,"02-Sep-13",245,"02-Sep-13",245,0,3,0.00895484251111596,0.721687836256092,5.5,0.477121254719662,1.58113883008419,1,0.477121254719662,1.58113883008419,1,0.301029995663981,1.22474487139159,2,2.39093510710338,15.6684396159924,3.5,0,0.707106781186548,1.5,0.602059991327962,1.87082869338697,2.5
