"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F","logF.NFL","sqrtF.NFL","rankF.NFL"
"7","LD","HD","1","11","D","1","D1","D2","D","2","14","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","1","16","D","1","D1","D1","D","1","11","P","1","0","0",0.066666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0280287237359606,0.752772652930485,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","2","6","D","1","D1","D2","D","2","24","P","1","0","0",0.0625,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0263289387223491,0.75,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","10","D","1","D1","D1","D","1","14","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","21","D","1","D1","D2","D","2","13","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","18","D","1","D1","D2","D","2","7","P","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","14","D","1","D1","D2","D","2","8","P","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","4","13","D","1","D1","D2","D","2","10","P","1","1","0",0,3,NA,5,1,NA,"02-Aug-13",214,"",NA,NA,NA,0,0.707106781186548,10,0.602059991327962,1.87082869338697,4,NA,NA,NA,NA,NA,NA,2.33243845991561,14.6458185158768,12,NA,NA,NA,NA,NA,NA
"7","LD","HD","4","11","D","1","D1","D1","D","1","25","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","9","5","D","1","D1","D2","D","2","5","D","1","1","0",0.25,4.5,NA,6,1,NA,"02-Aug-13",214,"",NA,NA,NA,0.0969100130080564,0.866025403784439,71,0.740362689494244,2.23606797749979,10,NA,NA,NA,NA,NA,NA,2.33243845991561,14.6458185158768,12,NA,NA,NA,NA,NA,NA
