"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F"
"7","LD","HD","3","10","D","1","D1","D1","D","1","14","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","21","D","1","D1","D2","D","2","13","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","18","D","1","D1","D2","D","2","7","P","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","19","D","1","D1","M1","M","1","2","D","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","14","D","1","D1","D2","D","2","8","P","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","4","13","D","1","D1","D2","D","2","10","P","1","1","0",0,3,NA,5,1,NA,"02-Aug-13",214,"",NA,NA,NA,0,0.707106781186548,10.5,0.602059991327962,1.87082869338697,3,NA,NA,NA,NA,NA,NA,2.33243845991561,14.6458185158768,6.5,NA,NA,NA
"7","LD","HD","4","11","D","1","D1","D1","D","1","25","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","9","5","D","1","D1","D2","D","2","5","D","1","1","0",0.25,4.5,NA,6,1,NA,"02-Aug-13",214,"",NA,NA,NA,0.0969100130080564,0.866025403784439,57,0.740362689494244,2.23606797749979,6,NA,NA,NA,NA,NA,NA,2.33243845991561,14.6458185158768,6.5,NA,NA,NA
"7","LD","HD","9","12","D","1","D1","D1","D","1","11","D","1","0","0",0.125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0511525224473813,0.790569415042095,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","10","1","D","1","D1","D1","D","1","23","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","3","10","M","1","M1","M1","M","1","3","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","5","12","M","1","M1","D1","D","1","20","D","1","1","1",0.214285714,5,17,7,3,5,"17-Jul-13",198,"04-Sep-13",247,49,47,0.084320885597849,0.845154254559486,56,0.778151250383644,2.34520787991171,7.5,1.25527250510331,4.18330013267038,17,0.778151250383644,2.34520787991171,16.5,2.29885307640971,14.0890028036054,1,1.69897000433602,7.03562363973514,16
"1","LD","LD","5","7","M","1","M1","D1","D","1","21","D","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","6","6","M","1","M1","D1","D","1","19","P","1","1","1",0.142857143,6,11,16,2,3,"31-Jul-13",212,"04-Sep-13",247,35,44,0.0579919470319736,0.80178372582636,51.5,0.845098040014257,2.54950975679639,10,1.07918124604762,3.39116499156263,14,0.602059991327962,1.87082869338697,11,2.32837960343874,14.5773797371133,3,1.55630250076729,5.95818764390649,14
