"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F","logF.NFL","sqrtF.NFL","rankF.NFL"
"1","LD","LD","1","11","D","1","D1","D1","D","1","16","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","5","7","D","1","D1","D1","D","1","11","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","LDBS","5","10","D","1","D1","D1","D","1","18","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","LDBS","5","1","D","1","D1","D1","D","1","13","D","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","LDBS","10","10","D","1","D1","D1","D","1","12","P","1","0","0",0.116666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.047923552446823,0.785281266171555,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","LD","2","7","D","2","D2","D1","D","1","21","D","1","1","1",0,4,4,3,1,1,"02-Sep-13",245,"02-Sep-13",245,0,1,0,0.707106781186548,7,0.698970004336019,2.12132034355964,3,0.698970004336019,2.12132034355964,3,0.301029995663981,1.22474487139159,4,2.39093510710338,15.6684396159924,13.5,0,0.707106781186548,3.5,0.301029995663981,1.22474487139159,3.5
"4","LD","LD","3","1","D","2","D2","D1","D","1","18","P","1","0","0",0.020833333,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00895484251111596,0.721687836256092,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","LD","5","10","D","2","D2","D1","D","1","13","D","1","0","0",0.016666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00717858476951502,0.71879528866013,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","LD","6","5","D","2","D2","D1","D","1","22","P","1","1","1",0.03125,3,3.5,3,1,1,"02-Aug-13",214,"15-Aug-13",227,13,1,0.0133639615579815,0.728868986855663,20.5,0.602059991327962,1.87082869338697,1.5,0.653212513775344,2,2,0.301029995663981,1.22474487139159,4,2.33243845991561,14.6458185158768,8,1.14612803567824,3.67423461417477,9,0.301029995663981,1.22474487139159,3.5
"5","LD","LDBS","3","7","D","2","D2","D1","D","1","14","P","1","1","1",0,3,3,2,1,1,"02-Sep-13",245,"02-Sep-13",245,0,1,0,0.707106781186548,7,0.602059991327962,1.87082869338697,1.5,0.602059991327962,1.87082869338697,1,0.301029995663981,1.22474487139159,4,2.39093510710338,15.6684396159924,13.5,0,0.707106781186548,3.5,0.301029995663981,1.22474487139159,3.5
"5","LD","LDBS","6","4","D","2","D2","D1","D","1","18","D","1","1","1",0.010416667,5.5,5.5,6,1,1,"23-Jul-13",204,"02-Aug-13",214,10,1,0.00450050136994889,0.714434508545045,14.5,0.812913356642856,2.44948974278318,9,0.812913356642856,2.44948974278318,6,0.301029995663981,1.22474487139159,4,2.31175386105575,14.3003496460751,3,1.04139268515823,3.24037034920393,8,0.301029995663981,1.22474487139159,3.5
"5","LD","LDBS","6","11","D","2","D2","D1","D","1","13","D","1","1","1",0,5,5,NA,NA,1,"15-Aug-13",227,"15-Aug-13",227,0,1,0,0.707106781186548,7,0.778151250383644,2.34520787991171,6,0.778151250383644,2.34520787991171,4.5,0.301029995663981,1.22474487139159,4,2.35793484700045,15.0831031289984,12,0,0.707106781186548,3.5,0.301029995663981,1.22474487139159,3.5
"5","LD","LDBS","9","8","D","2","D2","D1","D","1","14","?","1","0","0",0.066666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0280287237359606,0.752772652930485,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","1","16","D","1","D1","D1","D","1","11","P","1","0","0",0.066666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0280287237359606,0.752772652930485,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","3","10","D","1","D1","D1","D","1","14","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","4","11","D","1","D1","D1","D","1","25","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","9","12","D","1","D1","D1","D","1","11","D","1","0","0",0.125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0511525224473813,0.790569415042095,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LD","HD","10","1","D","1","D1","D1","D","1","23","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","LD","HD","3","5","D","2","D2","D1","D","1","22","P","1","0","0",0.010416667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00450050136994889,0.714434508545045,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","5","12","M","1","M1","D1","D","1","20","D","1","1","1",0.214285714,5,17,7,3,5,"17-Jul-13",198,"04-Sep-13",247,49,47,0.084320885597849,0.845154254559486,45,0.778151250383644,2.34520787991171,6,1.25527250510331,4.18330013267038,14,0.778151250383644,2.34520787991171,15,2.29885307640971,14.0890028036054,1.5,1.69897000433602,7.03562363973514,15,1.68124123737559,6.89202437604511,15
"1","LD","LD","5","7","M","1","M1","D1","D","1","21","D","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","6","6","M","1","M1","D1","D","1","19","P","1","1","1",0.142857143,6,11,16,2,3,"31-Jul-13",212,"04-Sep-13",247,35,44,0.0579919470319736,0.80178372582636,42,0.845098040014257,2.54950975679639,11,1.07918124604762,3.39116499156263,11.5,0.602059991327962,1.87082869338697,12.5,2.32837960343874,14.5773797371133,5.5,1.55630250076729,5.95818764390649,13.5,1.65321251377534,6.67083203206317,14
"1","LD","LD","9","12","M","1","M1","D1","D","1","25","D","1","1","1",0.142857143,10,10,6,2,2,"04-Sep-13",247,"04-Sep-13",247,0,7,0.0579919470319736,0.80178372582636,42,1.04139268515823,3.24037034920393,17.5,1.04139268515823,3.24037034920393,9.5,0.477121254719662,1.58113883008419,9.5,2.39445168082622,15.7321327225523,16.5,0,0.707106781186548,3.5,0.903089986991944,2.73861278752583,10
"2","LD","HD","3","12","M","2","M2","D1","D","1","21","D","1","0","0",0.035714286,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0152399666765422,0.73192505490658,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","5","3","M","2","M2","D1","D","1","9","D","1","1","1",0.057142857,5,NA,5,1,1,"31-Jul-13",212,"07-Aug-13",219,7,1,0.024133679658031,0.746420027196484,26,0.778151250383644,2.34520787991171,6,NA,NA,NA,0.301029995663981,1.22474487139159,4,2.32837960343874,14.5773797371133,5.5,0.903089986991944,2.73861278752583,7,0.301029995663981,1.22474487139159,3.5
"2","LD","HD","5","8","M","2","M2","D1","D","1","25","D","1","0","0",0.014285714,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00616030858248194,0.717137165401431,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","6","8","M","2","M2","D1","D","1","22","D","1","1","1",0.107142857,7,10,6,2,2,"17-Jul-13",198,"07-Aug-13",219,21,7,0.0442036624360154,0.77919372238231,36,0.903089986991944,2.73861278752583,13.5,1.04139268515823,3.24037034920393,9.5,0.477121254719662,1.58113883008419,9.5,2.29885307640971,14.0890028036054,1.5,1.34242268082221,4.63680924774785,11,0.903089986991944,2.73861278752583,10
